Aster,Aster
Linden,Tilia
Milkweed  ,Asclepias
Sunflower,Helianthus
Willow,Salix
Goldenrod,Solidago
Maple,Acer
Black Locust,Robinia pseudoacacia
Raspberry,Rubus
Spanish needles,Bidens
Apple,Malus
Pear,Pyrus
Dandelion,Taraxacum officinale 
Tulip Tree,Liriodendron tulipifera
Sweet Yellow Clover,Melilotus officinalis
Sumac,Rhus glabra
White Clover,Trifolium repens
Hawthorne,Crataegus
Cucumber,Cucurbitaceae
American Holly,Ilex opaca
Lavendar,Lavandula
Alfalfa,Medicago sativa 
Mint,Mentha
Catmint,Nepeta grandiflora 
Smartweed,Polygonum
Plum,Prunus
Blackberry,Rubus
Alsike clover,Trifolium hybridum 
Elm,Ulmus
Blueberry,Vaccinium
Borage,Borago officinalis
Catalpa,Catalpa speciosa 
Dogwood,Cornus
Hazelnut,Corylus
Persimmon,Diospyros virginiana
Buckwheat ,Fagopyrum esculentum 
Honey Locust,Gleditsia triancanthos
Soybean ,Glycine soja
Mountain Laurel,Kalmia latifolia 
Birdsfoot trefoil,Lotus corniculatus 
Peppermint,Mentha piperata
Cherry ,Prunus cerasus
Peach,Prunus persica
Oak,Quercus
Elderberry,Sambucus nigra
Germander,Teucrium chamaedrys
Crimson Clover,Trifolium incarnatum
Red Clover,Trifolium pratense 
Ohio Buckeye ,Aesculus glabra
Anise hyssop,Agstache foeniculum
Chives,Allium schoenoprasum
Shadbush,Amelanchier arborea
Devils-walkingstick,Aralia spinosa
Red Chokeberry,Aronia arbutifolia
Black Chokeberry,Aronia melanocarpa
Yellow rocket,Barbarea vulgaria
Barberry,Berberis
Mustard,Brassica
Common Hackberry,Celtis occidentalis
Thistle ,Centaurea 
Cornflower,Centaurea cyanus
Red Bud,Cercis canadensis 
Watermelon,Citrullus lanatus
Cilantro,Coriander sativum
Crocus,Crocus
Melon,Cucumis melo
Globe Thistle,Echinops
Blue Weed ,Echium vulgare
Boneset ,Eupatorium 
Common Sunflower,Helianthus annuus
Hickory ,Hicoria
Sweet White Clover,Melilotus alba
Sweet Yellow Clover,Melilotus officinalis
Melissa,Melissa officinalis
Oregano,Oreganum officinalis
Opium Poppie,Papaver somniferum
Russian Sage,Perovskia atriplicifolia
Lima bean,Phaseolus lunatus  
Sweet Cherry,Prunus avium
Wild Cherry,Prunus serotina
Mountain Mint,Pycnanthemum flexuosum
Common Buckthorn,Rhamnus cathartica
Azalea,Rhododendron
Pussy Willow,Salix caprea
American Willow,Salix discolor
Sedum,Sedum spectabilis
Heath Aster,Symphyotrichum ericoides
Thyme,Thymus
Hairy Vetch ,Vicia villosa
Sheep Laurel,Kalmia angustifolia 
Squash,Cucurbita
Red Maple,Acer rubrum
Garlic Chives,Allium tuberosa
English Lavendar,Lavandula angustifolia
Sweet Crab Apple,Malus coronaria
European Crab Apple,Malus sylvestris
Red Poppy,Papaver rhoeas
Apricot,Prunus armeniaca
Rosemary,Rosmarinus officinalis
Wild Thyme,Thymus serpyllum
American Elm,Ulmus americana
Cranberry,Vaccinium macrocarpon  
Common Vetch,Vicia cracca 
Spring Vetch ,Vicia sativa 
