ff_id,ff_rank,ff_scientific,eol_scientific,eol_id,wiki_title,wiki_url,ff_name,eol_names,wiki_names,human_names,translated_name
979,8,Acacia cultriformis,,,Esponjinha,https://pt.wikipedia.org/wiki/Esponjinha,Knife-leaf wattle,,Esponjinha,,Esponjinha
1010,8,Acacia decurrens,,,Acácia-negra,https://pt.wikipedia.org/wiki/Ac%C3%A1cia-negra,Early black wattle,,Acácia-negra,,Acácia-negra
579,8,Acacia farnesiana,Acacia farnesiana (L.) Willd.,684149,Acácia-amarela,https://pt.wikipedia.org/wiki/Ac%C3%A1cia-amarela,Needle bush,"Esponjeira, esponja",Acácia-amarela,,Acácia-amarela
1022,8,Acacia melanoxylon,Acacia melanoxylon R. Br.,8684941,,https://pt.wikipedia.org/wiki/Acacia_melanoxylon,Sally wattle,Acácia-preta,,,Acácia-preta
1171,8,Acacia saligna,Acacia saligna (Labill.) Wendl.,690383,,https://pt.wikipedia.org/wiki/Acacia_saligna,Coojong,Acácia,,,
49,,Acca sellowiana,Acca sellowiana (O. Berg) Burret,2508674,Feijoa,https://pt.wikipedia.org/wiki/Feijoa,Feijoa,"feijoa, araçá do rio grande, goiaba do campo, goiaba serrana, goiaba silvestre, goiaba-feijoa, goiabeira serrana","goiaba-serrana, goiaba-ananás","goiaba-serrana, goiaba-ananás",Goiaba-serrana
175,6,Acer,,,Acer (botânica),https://pt.wikipedia.org/wiki/Acer_(bot%C3%A2nica),Maple,,bordo,bordo,Bordo
1052,8,Acer campestre,,,Acer campestre,https://pt.wikipedia.org/wiki/Acer_campestre,Hedge maple,,"acer menor, acer silvestre",,
136,8,Acer saccharum,,,Acer saccharum,https://pt.wikipedia.org/wiki/Acer_saccharum,Sugar maple,,bordo-açucareiro,bordo-açucareiro,Bordo-açucareiro
422,,Achillea millefolium,,,Milefólio,https://pt.wikipedia.org/wiki/Milef%C3%B3lio,Common yarrow,,"milefólio, milenrama, erva-dos-carpinteiros, feiteirinha, mil-folhas","milefólio, milenrama, erva-dos-carpinteiros, feiteirinha, mil-folhas",Milefólio
87,6,Actinidia,,,Quiuí,https://pt.wikipedia.org/wiki/Quiu%C3%AD,Kiwifruit,,"quiuí, quivi, kiwi","quiuí, kiwi",Quiuí
224,8,Aesculus hippocastanum,,,Castanheiro-da-índia,https://pt.wikipedia.org/wiki/Castanheiro-da-%C3%ADndia,Common horse-chestnut,,"castanheiro-da-índia, castanha-da-índia",,Castanheiro-da-índia
794,,Agaricus arvensis,,,,https://pt.wikipedia.org/wiki/Agaricus_arvensis,Horse mushroom,,,cogumelo do cavalo,Cogumelo do cavalo
276,,Agave,,,,https://pt.wikipedia.org/wiki/Agave,Agave,,,Agave,Agave
