Common,Scientific,Rating,Tag,Human,Bee,Notes,URL,URL2
http://pfaf.org,Abelmoschus,2,,2,,PFAF = 3,,
,Aberia,1,syn,1,,[syn] Dovyalis,,
Fir,Abies,-1,,-1,,True famine food,,
Balsam fir,Abies balsamea,-1,,-1,,,,
Grand fir,Abies grandis,-1,,-1,,,,
http://pfaf.org,Abronia,2,,2,,PFAF = 3,,
http://pfaf.org,Abutilon,2,,2,,PFAF = 3,,
Amantillo,Abutilon abutiloides,1,,0,1,,http://www.desertsurvivors.org/Nursery/Plant_DB/PlantList.html,
,Abutilon parvulum,1,,,1,,http://www.desertsurvivors.org/Nursery/Plant_DB/PlantList.html,
Wattle,Acacia,2,,2,,,,
Mulga acacia,Acacia aneura,1,,1,,Seeds for flour,,
Prairie acacia,Acacia angustissima,1,syn,2,1,[syn] Acaciella angustissima,http://www.desertsurvivors.org/Nursery/Plant_DB/PlantList.html,
Prairie acacia,Acaciella angustissima,1,,2,1,Used for making pulque,,
Cootamundra wattle,Acacia baileyana,2,,2,,,http://www.ausbushfoods.com/oldmag/plants/acacias.htm,
Knife-leaf wattle,Acacia cultriformis,2,,2,,Edible flowers,http://en.wikipedia.org/wiki/Acacia_cultriformis,
Silver wattle,Acacia dealbata,2,,2,,,,
Early black wattle,Acacia decurrens,2,,2,,,http://en.wikipedia.org/wiki/Acacia_decurrens,
Needle bush,Acacia farnesiana,2,syn,2,,[syn] Vachellia farnesiana,,
Brisbane golden wattle,Acacia fimbriata,1,,1,,,,
Catclaw acacia,Acacia greggii,2,syn,2,,[syn] Senegalia greggii,,
Sydney golden wattle,Acacia longifolia,1,,1,,,,
Sally wattle,Acacia melanoxylon,2,,2,,,,
Mallee golden wattle,Acacia notabilis,2,,2,,,,
Weeping myall,Acacia pendula,2,,2,,,,
Climbing wattle,Acacia pennata,1,,1,,,,
Golden wattle,Acacia pycnantha,2,,2,,,,
Swamp wattle,Acacia retinodes,2,,2,,,,
Cooba,Acacia salicina,2,,2,,Seeds edible,http://en.wikipedia.org/wiki/Acacia_salicina,
,Acacia senegal,2,syn,2,,[syn] Senegalia senegal,,
Red acacia,Acacia seyal,2,syn,2,,[syn] Acacia seyal,,
Needle bush,Acacia smallii,2,syn,2,,[syn] Vachellia farnesiana,,
