Common	Scientific	Rating	Tag
	Acacia melanoxylon	-1	
Clammy locust	Robinia viscosa	-1	
Japanese pagodatree	Sophora japonica	-1	
Fir	Abies	-1	
Catclaw acacia	Acacia greggii	-1	
	Acacia pendula	-1	
Silver wattle	Acacia dealbata	-1	
California buckeye	Aesculus californica	-1	
Red horse-chestnut	Aesculus carnea	-1	
Ohio buckeye	Aesculus glabra	-1	
Horse-chestnut	Aesculus hippocastanum	-1	
	Afrocarpus gracilior	-1	
Alder	Alnus	-1	
King palm	Archontophoenix alexandrae	-1	
Incense cedar	Calocedrus	-1	
Hornbeam	Carpinus	-1	
Bitternut Hickory	Carya cordiformis	-1	
	Catalpa	-1	
Cedar	Cedrus	-1	
Sugarberry	Celtis laevigata	-1	
Katsura	Cercidiphyllum	-1	
Chinese redbud	Cercis chinensis	-1	
Cypress	Chamaecyparis	-1	
Fringetree	Chionanthus	-1	
Yellowwood	Cladrastis	-1	
Pagoda dogwood	Cornus alternifolia	-1	
Flowering dogwood	Cornus florida	-1	
Pacific dogwood	Cornus nuttallii	-1	
Northern swamp dogwood	Cornus racemosa	-1	
	Cornus rutgersensis 	-1	
Smoketree	Cotinus	-1	
Cockspur Hawthorn	Crataegus crus-galli	-1	
Cockspur Hawthorn	Crataegus crusgalli	-1	syn
Green hawthorn	Crataegus viridis	-1	
Japanese-fir	Cryptomeria	-1	
China-fir	Cunninghamia	-1	
Cypress	Cupressus	-1	
Japanese blueberry tree	Elaeocarpus decipiens	-1	
Bronze loquat	Eriobotrya deflexa	-1	
	Eucommia	-1	
Moreton bay fig	Ficus macrophylla	-1	
	Ficus microcarpa	-1	
Cuban-laurel	Ficus retusa	-1	
Rubber fig	Ficus elastica 	-1	
Kentucky coffeetree	Gymnocladus dioicus	-1	
	Heptacodium	-1	
Chinese juniper	Juniperus chinensis	-1	
Savin juniper	Juniperus sabina	-1	
Prickly castor oil tree	Kalopanax	-1	
	Koelreuteria	-1	
Larch	Larix	-1	
Coast teatree	Leptospermum laevigatum	-1	
Sweetgum	Liquidambar	-1	
Tuliptree	Liriodendron	-1	
Tatarian honeysuckle	Lonicera tatarica	-1	
Tatarian honeysuckle	Lonicera tataricum	-1	mis
	Maackia	-1	
Osage-orange	Maclura pomifera	-1	
	Magnolia	-1	
	Malus yunnanensis	-1	
Dawn redwood	Metasequoia	-1	
Hophornbeam	Ostrya	-1	
Persian ironwood	Parrotia	-1	
	Persea borbonia	-1	
Canary avocado	Persea indica	-1	
Cork-tree	Phellodendron	-1	
Chinese pistache	Pistacia chinensis	-1	syn
Chinese pistache	Pistacia sinensis	-1	
Weeping pittosporum	Pittosporum phillyreoides 	-1	
Plane tree	Platanus	-1	
	Podocarpus gracilior	-1	syn
	Podocarpus henkelii	-1	
	Populus	-1	
	Prunus blireana	-1	syn
	Prunus blireiana	-1	
	Prunus caroliniana	-1	
Purpleleaf sand cherry	Prunus cistena	-1	
Bitter cherry	Prunus emarginata	-1	
Cherry laurel	Prunus laurocerasus	-1	
Weeping cherry	Prunus pendula	-1	
Tibetan cherry	Prunus serrula	-1	
	Prunus serrulata	-1	
Flowering almond	Prunus triloba	-1	
Yoshino cherry	Prunus x yedoensis	-1	
Yoshino cherry	Prunus yedoensis	-1	
Douglas-fir	Pseudotsuga	-1	
Hoptree	Ptelea	-1	
	Pyrus calleryana	-1	
	Pyrus kawakami	-1	
Weeping pear	Pyrus salicifolia	-1	
	Pyrus Ussurian	-1	
	Pyrus ussuriensis	-1	
Buckthorn	Rhamnus	-1	
Koree	Rhus lancea	-1	
Lacquer tree	Rhus verniciflua	-1	
Willow	Salix	-1	
Japanese umbrella-pine	Sciadopitys	-1	
Sequoia	Sequoiadendron	-1	
	Sorbus alnifolia	-1	
American mountain-ash	Sorbus americana	-1	
Showy Mountain-ash	Sorbus decora	-1	
Swedish whitebeam	Sorbus intermedia	-1	
	Strychnos nux-vomica	-1	
	Styrax	-1	
Lilac	Syringa	-1	
	Taxodium	-1	
English Yew	Taxus baccata	-1	
Pacific Yew	Taxus brevifolia	-1	
Canadian Yew	Taxus canadensis	-1	
Japanese Yew	Taxus cuspidata	-1	
	Tetradium	-1	
	Thuja	-1	
Hemlock	Tsuga	-1	
	Viburnum japonicum 	-1	
	Viburnum plicatum	-1	
	Viburnum sieboldii	-1	
	Zelkova	-1	
	Cercis reniformis	0	
Staghorn sumac	 Rhus hirta	1	syn
True mulga	Acacia aneura	1	
Brisbane golden wattle	Acacia fimbriata	1	
Sydney golden wattle	Acacia longifolia	1	
Climbing wattle	Acacia pennata	1	
Sydney golden wattle	Acacia sophorae	1	syn
Elegant wattle	Acacia victoriae	1	
Feijoa	Acca sellowiana	1	
Black Maple	Acer nigrum	1	
Sugar maple	Acer saccharum	1	
Star apple	Achras cainito	1	syn
Lemon aspen	Acronychia acidula	1	
Kiwifruit	Actinidia	1	
Bael	Aegle marmelos	1	
Yellow buckeye	Aesculus flava	1	
Yellow buckeye	Aesculus octandra	1	syn
Candlenut	Aleurites moluccana	1	
Marmelada	Alibertia edulis	1	
Borojo	Alibertia patinoi	1	
Amaranth	Amaranth	1	
Serviceberry	Amelanchier	1	
Saskatoon	Amelanchier alnifolia	1	
Downy serviceberry	Amelanchier arborea	1	
Canadian serviceberry	Amelanchier canadensis	1	
Apple serviceberry	Amelanchier grandiflora	1	
Allegheny serviceberry	Amelanchier laevis	1	
Luma	Amomyrtus luma	1	
Cashew	Anacardium occidental	1	
