locale,variant,ISO639.1,ISO639.2T,ISO639.2B,ISO639.3,ISO639.6,wikipedia,other,autonym,en,fr,de,ru,es,it,zh,ISO639.3_macro,scope,type,family,retired,wikipedia_url,notes
,,aa,aar,aar,aar,aars,aa,,"afaraf, afar",afar,afar,afar,афар,afar,,"阿法尔语l, 阿法语",,individual,living,afro-asiatic,FALSE,,
,,ab,abk,abk,abk,abks,ab,,"аҧсуа, аҧсуа бызшәа, аҧсшәа","abkhazian, abkhaz",abkhaze,abchasisch,абхазский,abjaso,,阿布哈兹语,,individual,living,northwest caucasian,FALSE,,
,,ae,ave,ave,ave,,,,avesta,avestan,avestique,,авестийский,,,阿维斯陀语,,individual,ancient,indo-european,FALSE,,ancient
,,af,afr,afr,afr,afrs,af,,afrikaans,afrikaans,afrikaans,afrikaans,африкаанс,afrikaans,,"阿非利堪斯语, 南非荷兰语, 南非语",,individual,living,indo-european,FALSE,,
,,ak,aka,aka,aka,,ak,,"akan, akana",akan,akan,akan,акан,acano,,阿坎语,,macro,living,niger-congo,FALSE,,
,,am,amh,amh,amh,,am,,አማርኛ,amharic,amharique,amharisch,амхарский,amárico,,阿姆哈拉语,,individual,living,afro-asiatic,FALSE,,
,,an,arg,arg,arg,,an,,aragonés,aragonese,aragonais,aragonisch,арагонский,aragonés,,阿拉贡语,,individual,living,"ind-european, indo-european",FALSE,,
,,ar,ara,ara,ara,,ar,,العربية,arabic,arabe,arabisch,арабский,árabe,,阿拉伯语,,macro,living,arabic,FALSE,,
,,as,asm,asm,asm,,as,,অসমীয়া,assamese,assamais,asamiya,ассамский,asamés,,阿萨姆语,,individual,living,indo-european,FALSE,,
,,av,ava,ava,ava,,av,,"магӀарул мацӀ, mагӏарул мацӏ, maⱨarul maⱬ, aвар мацӏ, avar maⱬ, авар","avaric, avar",avar,,аварский,avaro,,阿瓦尔语,,individual,living,northeast caucasian,FALSE,,
,,ay,aym,aym,aym,,ay,,"aymar, aymar aru",aymara,aymara,aymara,аймара,aimara,,艾马拉语,,macro,living,aymaran,FALSE,,
,,az,aze,aze,aze,,az,,"azərbaycan, azərbaycanca",azerbaijani,azéri,aserbaidschanisch,азербайджанский,azerbayano,,阿塞拜疆语,,macro,living,turkic,FALSE,,
,,ba,bak,bak,bak,,ba,,"башҡорт, башҡорт теле, башҡортса",bashkir,bachkir,baschkirisch,башкирский,baskir,,巴什基尔语,,individual,living,turkic,FALSE,,
,,be,bel,bel,bel,,be,,"беларуская, беларуская мова, bielaruskaja mova","belarusian, belorussian",biélorusse,weißrussisch,белорусский,bielorruso,,白俄罗斯语,,individual,living,indo-european,FALSE,,
,,bg,bul,bul,bul,buls,bg,,"български, български език",bulgarian,bulgare,bulgarisch,болгарский,búlgaro,,保加利亚语,,individual,living,indo-european,FALSE,,
,,bh,bih,bih,bih,,bh,,,"bihari, bihari languages",,,,,,,,macro,living,indo-european,FALSE,,"collective language code for bhojpuri, magahi, and maithili"
,,bi,bis,bis,bis,,bi,,bislama,bislama,bichlamar,bislama,бислама,bislama,,"比斯拉马语, 比斯拉玛语",,individual,living,creole,FALSE,,
,,bm,bam,bam,bam,,bm,,bamanankan,bambara,bambara,,бамана,,,班巴拉语,,individual,living,niger–congo,FALSE,,
,,bn,ben,ben,ben,,bn,,বাংলা,"bengali, bangla",bengali,bengalisch,бенгальский,bengalí,,孟加拉语,,individual,living,indo-european,FALSE,,
,,bo,bod,tib,bod,,bo,,"བོད་ཡིག, བོད་སྐད","tibetan, tibetan standard, central",tibétain,tibetisch,тибетский,tibetano,,"藏语, 卫藏语",,individual,living,sino-tibetan,FALSE,,
,,br,bre,bre,bre,,br,,brezhoneg,breton,breton,bretonisch,бретонский,bretón,,布列塔尼语,,individual,living,indo-european,FALSE,,
,,bs,bos,bos,bos,boss,bs,,"bosanski, bosanski jezik",bosnian,bosniaque,bosnisch,боснийский,bosnio,,"波斯尼亚语, 波士尼亚语",hbs,individual,living,indo-european,FALSE,,
,,ca,cat,cat,cat,,ca,,català,"catalan, valencian",catalan,katalanisch,каталанский,catalán,,"加泰隆尼亚语, 加泰罗尼亚语, 加泰隆语, 瓦伦西亚语",,individual,living,indo-european,FALSE,,
,,ce,che,che,che,,ce,,"нохчийн, нохчийн мотт",chechen,tchétchène,tschetschenisch,чеченский,checheno,,车臣语,,individual,living,northeast caucasian,FALSE,,
,,ch,cha,cha,cha,,ch,,"chamoru, finu' chamorro","chamorro, guamanian",chamorro,chamorro,чаморро,chamorro,,查莫罗语,,individual,living,austronesian,FALSE,,
,,co,cos,cos,cos,,co,,"corsu, lingua corsa",corsican,corse,korsisch,корсиканский,corso,,科西嘉语,,individual,living,indo-european,FALSE,,
,,cr,cre,cre,cre,,cr,,"ᓀᐦᐃᔭᐤ, nehiyāw, nehiyaw",cree,cree,,,cree,,克里语,,macro,living,cree,FALSE,,
,,cs,ces,cze,ces,,cs,,"čeština, český jazyk",czech,tchèque,tschechisch,чешский,checo,,捷克语,,individual,living,indo-european,FALSE,,
,,cu,chu,chu,chu,,cu,,"ѩзыкъ словѣньскъ, словѣньскъ","church slavic, old church slavonic, church slavonic, old bulgarian, old slavonic",slavon d'église vieux,altkirchenslawisch,церковнославянский,eslavo eclesial,,古教会斯拉夫语,,individual,ancient,indo-european,FALSE,,"ancient, in use by orthodox church"
,,cv,chv,chv,chv,,cv,,"чӑваш, чӑваш чӗлхи, чăваш, чӑвашла, čăvašla",chuvash,tchouvache,tschuwaschisch,чувашский,chuvasio,,楚瓦什语,,individual,living,turkic,FALSE,,
,,cy,cym,wel,cym,,cy,,cymraeg,welsh,gallois,walisisch,валлийский,galés,,"威尔士语, 威尔斯语",,individual,living,indo-european,FALSE,,
,,da,dan,dan,dan,,da,dk,dansk,danish,danois,dänisch,датский,danés,,丹麦语,,individual,living,indo-european,FALSE,,
,,de,deu,ger,deu,deus,de,,deutsch,german,allemand,deutsch,немецкий,alemán,,德语,,individual,living,indo-european,FALSE,,
,,dv,div,div,div,,dv,,,"dhivehi, divehi, maldivian",maldivien,dhivehi,дивехи,maldivo,,迪维希语,,individual,living,indo-european,FALSE,,
,,dz,dzo,dzo,dzo,,dz,,"རྫོང་ཁ, ཇོང་ཁ",dzongkha,dzongkha,dzongkha,дзонг-кэ,dzongkha,,"宗喀语, 不丹语",,individual,living,sino-tibetan,FALSE,,
,,ee,ewe,ewe,ewe,,ee,,eʋegbe,ewe,éwé,ewe,эве,efé,,"埃维语, 幽语",,individual,living,niger–congo,FALSE,,
,,el,ell,gre,ell,ells,el,,ελληνικά,"greek, modern greek, greek (modern)","grec, grec (moderne), grec moderne",griechisch,"греческий, новогреческий","griego, griego moderno, griego (moderno)",,现代希腊语,,individual,living,indo-european,FALSE,,
,,en,eng,eng,eng,engs,"en, simple",,english,"english, simple english, international english",anglais,englisch,английский,inglés,,英语,,individual,living,indo-european,FALSE,,
,,eo,epo,epo,epo,,eo,,esperanto,esperanto,espéranto,esperanto,эсперанто,esperanto,,世界语,,individual,constructed,constructed,FALSE,,"constructed, initiated from l.l. zamenhof, 1887"
,,es,spa,spa,spa,,es,,español,"spanish, castilian, spanish (castilian)",espagnol,spanisch,испанский,español,,西班牙语,,individual,living,indo-european,FALSE,,
,,et,est,est,est,,et,,eesti,estonian,estonien,estnisch,эстонский,estonio,,爱沙尼亚语,,macro,living,,FALSE,,
,,eu,eus,baq,eus,,eu,,"euskara, euskera",basque,basque,baskisch,баскский,"euskera, vasco",,巴斯克语,,individual,living,language isolate,FALSE,,
